City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Viransehir,TR,70.52,Clear,37.2353,39.7631,Yukselhan Hotel
1,Busselton,AU,58.59,Clouds,-33.65,115.3333,Observatory Guest House
2,Ushuaia,AR,44.26,Clear,-54.8,-68.3,Albatros Hotel
3,Rodrigues Alves,BR,89.8,Clouds,-7.738,-72.6509,Pousada Aconchego
4,Hermanus,ZA,57.42,Clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
6,Cruzeiro Do Sul,BR,75.49,Clouds,-29.5128,-51.9853,Estrela Palace Hotel
7,Adamantina,BR,74.84,Rain,-21.6853,-51.0725,Abaporu Hotéis
8,Safaga,EG,80.64,Clouds,26.7292,33.9365,Lamar Resort Abu Soma
9,Ponta Do Sol,PT,70.0,Clouds,32.6667,-17.1,Hotel do Campo
10,Mar Del Plata,AR,82.42,Rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
12,Bam,IR,70.3,Clear,29.106,58.357,Bam Tourist Hotel
13,Mount Pleasant,US,83.25,Clear,32.7941,-79.8626,Best Western Patriots Point
14,Cape Town,ZA,59.11,Clear,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
15,Imola,IT,63.82,Clear,44.3523,11.7158,Hotel Olimpia
16,Dingle,PH,75.65,Rain,10.9995,122.6711,NVA Space Rental
17,Nzega,RW,56.75,Clouds,-2.479,29.5564,Ubumwe Center Kigeme Ltd
18,Port Alfred,ZA,54.18,Rain,-33.5906,26.891,The Halyards Hotel & Spa
19,Souillac,MU,71.98,Clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
20,Rocha,UY,68.99,Clear,-34.4833,-54.3333,Aparts Hotel Bahía Pindó
21,Bredasdorp,ZA,56.71,Clouds,-34.5322,20.0403,Wheatlands Lodge - Bredasdorp
23,Lodwar,KE,78.15,Rain,3.1191,35.5973,Solmar Gracious Hotel
24,Chupa,RU,25.29,Clouds,66.27,33.0549,Hostel on Pionerskaya 88
25,Mizdah,LY,72.43,Clear,31.4451,12.9801,ابناء كجمان
26,Punta Arenas,CL,39.31,Rain,-53.15,-70.9167,Hotel Hain
27,Breves,BR,91.18,Clouds,-1.6822,-50.4803,Hotel e Restaurante Grill
28,Alta Floresta,BR,94.82,Clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
29,Qaqortoq,GL,32.83,Clouds,60.7167,-46.0333,Siniffik Inn
30,Yola,NG,84.18,Clouds,9.2,12.4833,Muna Hotel
32,Hithadhoo,MV,80.82,Clouds,-0.6,73.0833,Alimas Guest House
33,Inhambane,MZ,71.69,Clouds,-23.865,35.3833,Oceano
34,Iqaluit,CA,10.13,Clouds,63.7506,-68.5145,Frobisher Inn
35,San Cristobal,VE,82.58,Rain,7.7669,-72.225,Pirineos
36,Vila Velha,BR,80.55,Clouds,-20.3297,-40.2925,Hotel Vitória Palace
37,Upernavik,GL,23.99,Clouds,72.7868,-56.1549,Gina's Guesthouse - Upernavik
38,Vestmanna,FO,43.72,Clouds,62.1564,-7.1664,Budget Guesthouse Borgustova
39,Saint-Philippe,RE,72.99,Clouds,-21.3585,55.7679,Le four à pain
40,Port Elizabeth,ZA,55.31,Clouds,-33.918,25.5701,39 On Nile Guest House
41,Margate,GB,57.31,Clouds,51.3813,1.3862,Premier Inn Margate hotel
42,Ribeira Grande,PT,64.8,Clouds,38.5167,-28.7,Quinta da Meia Eira
43,Morant Bay,JM,89.22,Clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
44,Mantua,IT,55.98,Clear,45.1667,10.7833,Hotel la Favorita
